time_tag,speed,density,temperature,bx,by,bz,bt
2026-07-25T10:00:00Z,412,5.8,120000,-1.2,2.1,-1.8,4.2
2026-07-25T10:05:00Z,615,8.5,185000,-2.4,3.5,-5.4,6.8
2026-07-25T10:10:00Z,642,8.8,191000,-2.6,3.8,-5.9,7.0
2026-07-25T10:15:00Z,688,9.4,205000,-3.2,4.4,-6.5,7.8
2026-07-25T10:20:00Z,705,10.1,214000,-3.7,4.9,-7.4,8.5
2026-07-25T10:25:00Z,731,10.4,220000,-4.1,5.2,-7.8,8.9
2026-07-25T10:30:00Z,690,9.8,209000,-3.5,4.3,-6.2,7.9
2026-07-25T10:35:00Z,658,8.9,198000,-2.9,4.0,-5.7,7.1
2026-07-25T10:40:00Z,603,8.0,176000,-2.3,3.1,-4.8,6.2
2026-07-25T10:45:00Z,556,7.2,162000,-1.8,2.6,-3.9,5.6
2026-07-26T09:00:00Z,438,6.1,127000,-1.1,1.9,-1.6,4.0
2026-07-26T09:05:00Z,447,6.4,129000,-1.2,2.0,-1.4,4.1
2026-07-26T09:10:00Z,455,6.7,132000,-1.3,2.2,-1.1,4.2
2026-07-26T09:15:00Z,470,7.0,137000,-1.5,2.4,-0.8,4.4
2026-07-26T09:20:00Z,485,7.4,141000,-1.7,2.6,-0.4,4.8
2026-07-26T09:25:00Z,502,7.9,148000,-1.9,2.8,0.1,5.1
2026-07-26T09:30:00Z,518,8.2,154000,-2.0,3.0,0.3,5.4
2026-07-26T09:35:00Z,540,8.7,160000,-2.1,3.2,-0.5,5.7
2026-07-26T09:40:00Z,575,9.1,169000,-2.3,3.6,-1.6,6.1
2026-07-26T09:45:00Z,620,9.6,182000,-2.7,3.9,-3.8,6.7
